account,total_pnl,total_volume,total_trades,active_days,win_days,avg_buy_ratio,contrarian_days,avg_fg_value,win_rate,pnl_per_trade,contrarian_rate,trader_tier
0x083384f897ee0f19899168e3b1bec365f52a9012,1592824.507675,61697263.970000006,3818,24,16,0.4921708333333334,9,58.541666666666664,0.6667,417.1882,0.375,Profitable
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,45155.48262547,12035487.66,7280,52,29,0.4369326923076923,20,53.21153846153846,0.5577,6.2027,0.3846,Losing
0x271b280974205ca63b716753467d5a371de622ab,-79717.174168,33873440.42,3809,12,8,0.40116666666666667,3,51.75,0.6667,-20.9286,0.25,Losing
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,130246.4471875491,6757022.1,13311,162,141,0.49573456790123455,52,56.30864197530864,0.8704,9.7849,0.321,Break-even
0x2c229d22b100a7beb69122eed721cee9b24011dd,165549.808272,10166880.2,3239,69,53,0.3698434782608696,25,62.82608695652174,0.7681,51.1114,0.3623,Break-even
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31350.67474938,1409902.0,815,43,14,0.253053488372093,18,54.95348837209303,0.3256,-38.4671,0.4186,Losing
0x39cef799f8b69da1995852eea189df24eb5cae3c,12998.262209930008,17193375.42,3589,46,25,0.42939782608695654,15,53.891304347826086,0.5435,3.6217,0.3261,Losing
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53319.973067083,1143896.46,332,28,15,0.46401785714285715,12,64.5,0.5357,160.6023,0.4286,Losing
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199237.62564302102,1987527.6099999999,383,20,10,0.41556499999999996,11,56.2,0.5,520.2027,0.55,Break-even
0x430f09841d65beb3f27765503d0f850b8bce7713,415794.86541,2966109.22,1237,28,7,0.19018571428571432,10,48.464285714285715,0.25,336.1317,0.3571,Profitable
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,102112.8696398181,4408828.9,8519,144,118,0.4921465277777778,48,54.576388888888886,0.8194,11.9865,0.3333,Break-even
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,669721.05824881,39572949.25,4356,58,38,0.5414258620689655,25,43.310344827586206,0.6552,153.7468,0.431,Profitable
0x4f93fead39b70a1824f981a54d4e55b278e9f760,268251.402313,129672529.28,7584,321,190,0.5874118380062305,102,59.71028037383178,0.5919,35.3707,0.3178,Profitable
