account,date,total_pnl,total_volume,total_fee,trade_count,buy_count,sell_count,avg_exec_price,coins_traded,net_pnl,buy_ratio,fg_value,fg_label,net_pnl_outlier,total_volume_outlier,net_pnl_w,total_volume_w,fg_7d_ma,fg_14d_ma,fg_delta,fg_momentum,is_extreme_fear,is_extreme_greed,is_win,pnl_per_trade,avg_trade_size,bias,is_contrarian,log_volume,pnl_tier,trader_tier_x,acct_win_rate_x,acct_contrarian_rate_x,acct_pnl_per_trade_x,trader_tier_y,acct_win_rate_y,acct_contrarian_rate_y,acct_pnl_per_trade_y
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,900880.13,167.796055,177,0,177,3204.4610169491525,1,-167.796055,0.0,76.0,Extreme Greed,False,False,-167.796055,900880.13,74.43,74.14,-2.0,1.0,0,0,0,-0.948,5089.72,Bearish,1,13.71112859669922,Bottom 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,542413.1799999999,67.883615,68,0,68,653.3651470588236,2,-67.883615,0.0,90.0,Extreme Greed,False,False,-67.883615,542413.1799999999,83.43,78.5,4.0,1.0,0,1,0,-0.9983,7976.66,Bearish,1,13.203785158334446,Bottom 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,949380.0,94.93798300000002,40,0,40,3164.6,1,-94.93798300000002,0.0,83.0,Extreme Greed,False,False,-94.93798300000002,949380.0,84.43,79.43,-7.0,1.0,0,1,0,-2.3734,23734.5,Bearish,1,13.763565472259538,Bottom 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,338240.0,33.823995,12,12,0,3382.4,1,-21260.823995,1.0,94.0,Extreme Greed,True,False,-21260.823995,338240.0,86.86,83.5,12.0,1.0,0,1,0,-1771.7353,28186.67,Bullish,0,12.731513938140244,Bottom 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,465700.0,104.62249,27,12,15,232.92111111111112,1,1498.47751,0.4444,79.0,Extreme Greed,False,False,1498.47751,465700.0,84.71,85.29,-3.0,-1.0,0,0,1,55.4992,17248.15,Neutral,0,13.051299076273295,Upper-Mid,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,1316799.98,131.679967,82,82,0,2691.5565853658536,2,-132402.679967,1.0,77.0,Extreme Greed,True,True,-21681.35819325,1316799.98,82.86,83.86,2.0,-1.0,0,0,0,-1614.6668,16058.54,Bullish,0,14.090715853133098,Bottom 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,1116918.77,390.921553,23,0,23,3723.017391304348,1,-390.921553,0.0,84.0,Extreme Greed,False,True,-390.921553,1116918.77,79.29,83.57,6.0,1.0,0,1,0,-16.9966,48561.69,Bearish,1,13.926085249151203,Bottom 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,1212299.96,121.229992,33,33,0,4041.0,1,-175732.23004800003,1.0,72.0,Greed,True,True,-21681.35819325,1212299.96,79.29,79.93,-12.0,-1.0,0,0,0,-5325.2191,36736.36,Bullish,0,14.00803073161756,Bottom 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,5306093.62,780.33644,465,112,353,741.0627956989248,2,70613.627658,0.2409,77.0,Extreme Greed,True,True,70613.627658,5306093.62,71.14,69.43,0.0,1.0,0,0,1,151.8573,11410.95,Bearish,1,15.484366646163114,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,479429.99,23.971493,51,28,23,239.1547058823529,1,40194.628505,0.549,76.0,Extreme Greed,True,False,40194.628505,479429.99,73.29,69.43,-1.0,1.0,0,0,1,788.13,9400.59,Neutral,0,13.080355242197262,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,1858470.0,92.923496,10,9,1,3091.9700000000003,1,76617.076504,0.9,60.0,Greed,True,True,76617.076504,1858470.0,69.86,73.07,-8.0,-1.0,0,0,1,7661.7077,185847.0,Bullish,0,14.435264664615994,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,19794543.66,2355.038296,839,350,489,2699.603241954708,2,98656.647368,0.4172,44.0,Fear,True,True,98656.647368,8313628.854500032,66.0,70.79,-16.0,-1.0,0,0,1,117.5884,23593.02,Neutral,0,16.80091693547932,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,5616220.88,704.19937,531,111,420,1470.9998116760828,2,374916.070873,0.209,72.0,Greed,True,True,110634.30732992075,5616220.88,66.0,70.5,28.0,1.0,0,0,1,706.0566,10576.69,Bearish,1,15.541169732454351,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,5582863.31,700.101577,210,78,132,2727.86,1,43700.804223,0.3714,54.0,Neutral,True,True,43700.804223,5582863.31,63.43,68.36,-18.0,-1.0,0,0,1,208.0991,26585.06,Neutral,0,15.535212519859586,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,1432708.93,0.0,141,132,9,2668.6843971631206,1,30897.0887,0.9362,46.0,Neutral,True,True,30897.0887,1432708.93,50.43,60.14,2.0,-1.0,0,0,1,219.1283,10161.06,Bullish,0,14.175078264826944,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,1537560.0,0.0,48,16,32,2563.133333333333,1,55086.0,0.3333,43.0,Fear,True,True,55086.0,1537560.0,50.29,58.14,-3.0,-1.0,0,0,1,1147.625,32032.5,Bearish,0,14.245707952672534,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,807600.01,0.0,6,0,6,2692.0,1,0.0,0.0,47.0,Neutral,False,False,0.0,807600.01,46.71,56.36,4.0,1.0,0,0,0,0.0,134600.0,Bearish,0,13.601823416039156,Lower-Mid,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,1603504.46,561.226533,59,31,28,2672.21186440678,1,9590.895707,0.5254,49.0,Neutral,True,True,9590.895707,1603504.46,49.0,49.21,-1.0,-1.0,0,0,1,162.5576,27178.04,Neutral,0,14.287702703160999,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,2898197.14,555.888761,219,93,126,2556.850228310502,1,114889.506777,0.4247,25.0,Fear,True,True,110634.30732992075,2898197.14,45.86,47.64,-24.0,-1.0,0,0,1,524.6096,13233.78,Neutral,0,14.8795997708161,Top 25%,Profitable,0.6667,0.375,417.1882,Profitable,0.6667,0.375,417.1882
