account,date,total_pnl,total_volume,total_fee,trade_count,buy_count,sell_count,avg_exec_price,coins_traded,net_pnl,buy_ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,900880.13,167.796055,177,0,177,3204.4610169491525,1,-167.796055,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,542413.1799999999,67.883615,68,0,68,653.3651470588236,2,-67.883615,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,949380.0,94.93798300000002,40,0,40,3164.6,1,-94.93798300000002,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,338240.0,33.823995,12,12,0,3382.4,1,-21260.823995,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,465700.0,104.62249,27,12,15,232.92111111111112,1,1498.47751,0.4444
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,1316799.98,131.679967,82,82,0,2691.5565853658536,2,-132402.679967,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,1116918.77,390.921553,23,0,23,3723.0173913043477,1,-390.921553,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,1212299.96,121.229992,33,33,0,4041.0,1,-175732.23004800003,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,5306093.62,780.33644,465,112,353,741.0627956989248,2,70613.627658,0.2409
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,479429.99,23.971493,51,28,23,239.15470588235294,1,40194.628505,0.549
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,1858470.0,92.923496,10,9,1,3091.9700000000003,1,76617.076504,0.9
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,19794543.66,2355.038296,839,350,489,2699.603241954708,2,98656.647368,0.4172
