fg_value,fg_label,date
30,Fear,2018-02-01
15,Extreme Fear,2018-02-02
40,Fear,2018-02-03
24,Extreme Fear,2018-02-04
11,Extreme Fear,2018-02-05
8,Extreme Fear,2018-02-06
36,Fear,2018-02-07
30,Fear,2018-02-08
44,Fear,2018-02-09
54,Neutral,2018-02-10
31,Fear,2018-02-11
42,Fear,2018-02-12
35,Fear,2018-02-13
55,Greed,2018-02-14
71,Greed,2018-02-15
67,Greed,2018-02-16
74,Greed,2018-02-17
63,Greed,2018-02-18
67,Greed,2018-02-19
74,Greed,2018-02-20
54,Neutral,2018-02-21
44,Fear,2018-02-22
39,Fear,2018-02-23
31,Fear,2018-02-24
33,Fear,2018-02-25
37,Fear,2018-02-26
44,Fear,2018-02-27
41,Fear,2018-02-28
38,Fear,2018-03-01
47,Neutral,2018-03-02
56,Greed,2018-03-03
44,Fear,2018-03-04
55,Greed,2018-03-05
59,Greed,2018-03-06
37,Fear,2018-03-07
39,Fear,2018-03-08
37,Fear,2018-03-09
39,Fear,2018-03-10
40,Fear,2018-03-11
41,Fear,2018-03-12
41,Fear,2018-03-13
40,Fear,2018-03-14
32,Fear,2018-03-15
33,Fear,2018-03-16
31,Fear,2018-03-17
29,Fear,2018-03-18
29,Fear,2018-03-19
37,Fear,2018-03-20
36,Fear,2018-03-21
36,Fear,2018-03-22
28,Fear,2018-03-23
32,Fear,2018-03-24
30,Fear,2018-03-25
31,Fear,2018-03-26
24,Extreme Fear,2018-03-27
24,Extreme Fear,2018-03-28
18,Extreme Fear,2018-03-29
12,Extreme Fear,2018-03-30
16,Extreme Fear,2018-03-31
16,Extreme Fear,2018-04-01
11,Extreme Fear,2018-04-02
22,Extreme Fear,2018-04-03
22,Extreme Fear,2018-04-04
17,Extreme Fear,2018-04-05
19,Extreme Fear,2018-04-06
20,Extreme Fear,2018-04-07
17,Extreme Fear,2018-04-08
21,Extreme Fear,2018-04-09
18,Extreme Fear,2018-04-10
20,Extreme Fear,2018-04-11
18,Extreme Fear,2018-04-12
23,Extreme Fear,2018-04-13
26,Fear,2018-04-17
24,Extreme Fear,2018-04-18
25,Fear,2018-04-19
26,Fear,2018-04-20
32,Fear,2018-04-21
31,Fear,2018-04-22
28,Fear,2018-04-23
29,Fear,2018-04-24
64,Greed,2018-04-25
47,Neutral,2018-04-26
55,Greed,2018-04-27
54,Neutral,2018-04-28
61,Greed,2018-04-29
59,Greed,2018-04-30
56,Greed,2018-05-01
52,Neutral,2018-05-02
55,Greed,2018-05-03
56,Greed,2018-05-04
63,Greed,2018-05-05
67,Greed,2018-05-06
56,Greed,2018-05-07
62,Greed,2018-05-08
53,Neutral,2018-05-09
63,Greed,2018-05-10
41,Fear,2018-05-11
44,Fear,2018-05-12
40,Fear,2018-05-13
40,Fear,2018-05-14
40,Fear,2018-05-15
32,Fear,2018-05-16
31,Fear,2018-05-17
37,Fear,2018-05-18
31,Fear,2018-05-19
32,Fear,2018-05-20
41,Fear,2018-05-21
30,Fear,2018-05-22
26,Fear,2018-05-23
27,Fear,2018-05-24
25,Fear,2018-05-25
23,Extreme Fear,2018-05-26
19,Extreme Fear,2018-05-27
22,Extreme Fear,2018-05-28
16,Extreme Fear,2018-05-29
38,Fear,2018-05-30
25,Fear,2018-05-31
24,Extreme Fear,2018-06-01
27,Fear,2018-06-02
40,Fear,2018-06-03
41,Fear,2018-06-04
26,Fear,2018-06-05
42,Fear,2018-06-06
38,Fear,2018-06-07
40,Fear,2018-06-08
39,Fear,2018-06-09
24,Extreme Fear,2018-06-10
15,Extreme Fear,2018-06-11
19,Extreme Fear,2018-06-12
19,Extreme Fear,2018-06-13
17,Extreme Fear,2018-06-14
26,Fear,2018-06-15
22,Extreme Fear,2018-06-16
23,Extreme Fear,2018-06-17
27,Fear,2018-06-18
32,Fear,2018-06-19
34,Fear,2018-06-20
37,Fear,2018-06-21
28,Fear,2018-06-22
17,Extreme Fear,2018-06-23
15,Extreme Fear,2018-06-24
16,Extreme Fear,2018-06-25
21,Extreme Fear,2018-06-26
18,Extreme Fear,2018-06-27
20,Extreme Fear,2018-06-28
16,Extreme Fear,2018-06-29
22,Extreme Fear,2018-06-30
27,Fear,2018-07-01
27,Fear,2018-07-02
31,Fear,2018-07-03
33,Fear,2018-07-04
37,Fear,2018-07-05
34,Fear,2018-07-06
34,Fear,2018-07-07
38,Fear,2018-07-08
39,Fear,2018-07-09
37,Fear,2018-07-10
29,Fear,2018-07-11
33,Fear,2018-07-12
29,Fear,2018-07-13
29,Fear,2018-07-14
32,Fear,2018-07-15
36,Fear,2018-07-16
39,Fear,2018-07-17
42,Fear,2018-07-18
44,Fear,2018-07-19
47,Neutral,2018-07-20
43,Fear,2018-07-21
46,Neutral,2018-07-22
44,Fear,2018-07-23
49,Neutral,2018-07-24
54,Neutral,2018-07-25
53,Neutral,2018-07-26
47,Neutral,2018-07-27
54,Neutral,2018-07-28
54,Neutral,2018-07-29
53,Neutral,2018-07-30
48,Neutral,2018-07-31
39,Fear,2018-08-01
39,Fear,2018-08-02
36,Fear,2018-08-03
31,Fear,2018-08-04
23,Extreme Fear,2018-08-05
25,Fear,2018-08-06
25,Fear,2018-08-07
23,Extreme Fear,2018-08-08
19,Extreme Fear,2018-08-09
21,Extreme Fear,2018-08-10
18,Extreme Fear,2018-08-11
18,Extreme Fear,2018-08-12
21,Extreme Fear,2018-08-13
16,Extreme Fear,2018-08-14
18,Extreme Fear,2018-08-15
21,Extreme Fear,2018-08-16
19,Extreme Fear,2018-08-17
24,Extreme Fear,2018-08-18
27,Fear,2018-08-19
26,Fear,2018-08-20
19,Extreme Fear,2018-08-21
21,Extreme Fear,2018-08-22
18,Extreme Fear,2018-08-23
19,Extreme Fear,2018-08-24
22,Extreme Fear,2018-08-25
19,Extreme Fear,2018-08-26
18,Extreme Fear,2018-08-27
19,Extreme Fear,2018-08-28
19,Extreme Fear,2018-08-29
22,Extreme Fear,2018-08-30
17,Extreme Fear,2018-08-31
21,Extreme Fear,2018-09-01
18,Extreme Fear,2018-09-02
19,Extreme Fear,2018-09-03
26,Fear,2018-09-04
17,Extreme Fear,2018-09-05
14,Extreme Fear,2018-09-06
17,Extreme Fear,2018-09-07
18,Extreme Fear,2018-09-08
13,Extreme Fear,2018-09-09
15,Extreme Fear,2018-09-10
18,Extreme Fear,2018-09-11
14,Extreme Fear,2018-09-12
20,Extreme Fear,2018-09-13
23,Extreme Fear,2018-09-14
24,Extreme Fear,2018-09-15
28,Fear,2018-09-16
25,Fear,2018-09-17
21,Extreme Fear,2018-09-18
24,Extreme Fear,2018-09-19
24,Extreme Fear,2018-09-20
31,Fear,2018-09-21
35,Fear,2018-09-22
38,Fear,2018-09-23
43,Fear,2018-09-24
37,Fear,2018-09-25
37,Fear,2018-09-26
42,Fear,2018-09-27
42,Fear,2018-09-28
37,Fear,2018-09-29
34,Fear,2018-09-30
35,Fear,2018-10-01
33,Fear,2018-10-02
36,Fear,2018-10-03
29,Fear,2018-10-04
37,Fear,2018-10-05
34,Fear,2018-10-06
29,Fear,2018-10-07
26,Fear,2018-10-08
31,Fear,2018-10-09
28,Fear,2018-10-10
